Country,DAA,YearMon,timeID,unitID,post_treat,treated
BG,101.85768817204301,2021-3,75,3,0,0
BG,120.761375,2021-4,76,3,0,0
BG,117.39680107526881,2021-5,77,3,0,0
BG,150.91748611111112,2021-6,78,3,0,0
BG,185.7961424731183,2021-7,79,3,0,0
BG,218.1314247311828,2021-8,80,3,0,0
BG,244.60655555555556,2021-9,81,3,0,0
BG,368.80478494623657,2021-10,82,3,0,0
BG,408.17468055555554,2021-11,83,3,0,0
BG,429.78653225806454,2021-12,84,3,0,0
BG,293.7306182795699,2022-1,85,3,0,0
BG,187.54370535714287,2022-2,86,3,0,0
BG,248.94995967741934,2022-3,87,3,0,0
BG,174.51991666666666,2022-4,88,3,0,0
BG,201.80313172043012,2022-5,89,3,0,0
BG,223.1580972222222,2022-6,90,3,1,0
BG,323.3986827956989,2022-7,91,3,1,0
BG,433.2175940860215,2022-8,92,3,1,0
BG,375.1267361111111,2022-9,93,3,1,0
BG,205.92283602150536,2022-10,94,3,1,0
BG,220.23306944444445,2022-11,95,3,1,0
BG,246.63573680351905,2022-12,96,3,1,0
CZ,29.47452956989247,2015-1,1,4,0,0
CZ,36.11779761904762,2015-2,2,4,0,0
CZ,30.610524193548386,2015-3,3,4,0,0
CZ,29.844708333333333,2015-4,4,4,0,0
CZ,25.385309139784948,2015-5,5,4,0,0
CZ,30.67054166666667,2015-6,6,4,0,0
CZ,36.6999059139785,2015-7,7,4,0,0
CZ,32.687862903225806,2015-8,8,4,0,0
CZ,33.40127777777778,2015-9,9,4,0,0
CZ,39.08360215053764,2015-10,10,4,0,0
CZ,35.47031944444444,2015-11,11,4,0,0
CZ,28.756666666666668,2015-12,12,4,0,0
CZ,31.890336021505377,2016-1,13,4,0,0
CZ,23.369353448275863,2016-2,14,4,0,0
CZ,23.718817204301075,2016-3,15,4,0,0
CZ,24.687055555555556,2016-4,16,4,0,0
CZ,24.361075268817203,2016-5,17,4,0,0
CZ,32.15529166666667,2016-6,18,4,0,0
CZ,29.479005376344084,2016-7,19,4,0,0
CZ,27.634905913978493,2016-8,20,4,0,0
CZ,33.427236111111114,2016-9,21,4,0,0
CZ,43.43176075268817,2016-10,22,4,0,0
CZ,40.01361111111111,2016-11,23,4,0,0
CZ,39.31177419354839,2016-12,24,4,0,0
CZ,54.30721774193548,2017-1,25,4,0,0
CZ,40.60059523809524,2017-2,26,4,0,0
CZ,31.665524193548386,2017-3,27,4,0,0
CZ,29.625041666666668,2017-4,28,4,0,0
CZ,33.6125,2017-5,29,4,0,0
CZ,34.87090277777778,2017-6,30,4,0,0
CZ,40.253104838709675,2017-7,31,4,0,0
CZ,34.101612903225806,2017-8,32,4,0,0
CZ,34.71951388888889,2017-9,33,4,0,0
CZ,30.345954301075267,2017-10,34,4,0,0
CZ,40.72973611111111,2017-11,35,4,0,0
CZ,32.74620967741935,2017-12,36,4,0,0
CZ,33.12326612903226,2018-1,37,4,0,0
CZ,40.99872023809524,2018-2,38,4,0,0
CZ,37.724771505376346,2018-3,39,4,0,0
CZ,31.806319444444444,2018-4,40,4,0,0
CZ,34.575698924731185,2018-5,41,4,0,0
CZ,44.022847222222225,2018-6,42,4,0,0
CZ,49.72501344086022,2018-7,43,4,0,0
CZ,57.747029569892476,2018-8,44,4,0,0
CZ,55.84641666666667,2018-9,45,4,0,0
CZ,56.179717741935484,2018-10,46,4,0,0
CZ,58.61697222222222,2018-11,47,4,0,0
CZ,51.684422043010755,2018-12,48,4,0,0
CZ,55.38225806451613,2019-1,49,4,0,0
CZ,45.10177083333333,2019-2,50,4,0,0
CZ,33.02975806451613,2019-3,51,4,0,0
CZ,38.011430555555556,2019-4,52,4,0,0
CZ,37.873548387096776,2019-5,53,4,0,0
