unit,rmspe_ratio,rank,p_val,n,outcome,treated,CT
IE,1.42608527624786,19,0.7916666666666666,48,TOT_X_NRG,ES,FALSE
IT,2.61007069213744,12,0.5,48,TOT_X_NRG,ES,FALSE
LT,3.30533036256169,8,0.3333333333333333,48,TOT_X_NRG,ES,FALSE
LU,5.52240552357402,3,0.125,48,TOT_X_NRG,ES,FALSE
LV,2.28803082386899,13,0.5416666666666666,48,TOT_X_NRG,ES,FALSE
NL,0.80443032574198,24,1,48,TOT_X_NRG,ES,FALSE
NO,4.33680112401798,6,0.25,48,TOT_X_NRG,ES,FALSE
PL,0.942198882199367,22,0.9166666666666666,48,TOT_X_NRG,ES,FALSE
RO,5.85983918590109,2,0.08333333333333333,48,TOT_X_NRG,ES,FALSE
SE,1.95634789913621,18,0.75,48,TOT_X_NRG,ES,FALSE
SI,2.10757941960357,15,0.625,48,TOT_X_NRG,ES,FALSE
SK,1.29359066051164,21,0.875,48,TOT_X_NRG,ES,FALSE
AT,3.46736763881345,10,0.47619047619047616,72,DAA,ES,FALSE
BE,1.80803422816672,20,0.9523809523809523,72,DAA,ES,FALSE
CZ,4.74262776819664,8,0.38095238095238093,72,DAA,ES,FALSE
DE,42.1229232591581,7,0.3333333333333333,72,DAA,ES,FALSE
DK,4.36044862475763,9,0.42857142857142855,72,DAA,ES,FALSE
EE,19.0139608304572,17,0.8095238095238095,72,DAA,ES,FALSE
ES,16.8328759702186,18,0.8571428571428571,72,DAA,ES,FALSE
FI,3.34932822582241,12,0.5714285714285714,72,DAA,ES,FALSE
GR,3.12495398531047,13,0.6190476190476191,72,DAA,ES,FALSE
HU,2.16138363282856,16,0.7619047619047619,72,DAA,ES,FALSE
IT,2.55379257852018,15,0.7142857142857143,72,DAA,ES,FALSE
LT,8.74512757703431,1,0.047619047619047616,72,DAA,ES,FALSE
LU,42.7284279935139,6,0.2857142857142857,72,DAA,ES,FALSE
LV,10.2398409261906,19,0.9047619047619048,72,DAA,ES,FALSE
NL,2.73997314959259,14,0.6666666666666666,72,DAA,ES,FALSE
NO,3.45784090064867,11,0.5238095238095238,72,DAA,ES,FALSE
PL,7.61485104489244,2,0.09523809523809523,72,DAA,ES,FALSE
RO,0.454496726574284,21,1,72,DAA,ES,FALSE
SE,6.81104984962359,4,0.19047619047619047,72,DAA,ES,FALSE
SI,7.12089733899979,3,0.14285714285714285,72,DAA,ES,FALSE
SK,6.40564623679313,5,0.23809523809523808,72,DAA,ES,FALSE
AT,1.73195416391246,22,0.9166666666666666,72,CP00,ES,FALSE
BE,2.24344782281112,19,0.7916666666666666,72,CP00,ES,FALSE
BG,3.3911432579885,14,0.5833333333333334,72,CP00,ES,FALSE
CZ,6.19856335612963,6,0.25,72,CP00,ES,FALSE
DE,4.30707993372457,11,0.4583333333333333,72,CP00,ES,FALSE
DK,3.39615136615282,13,0.5416666666666666,72,CP00,ES,FALSE
EE,3.38867984107359,15,0.625,72,CP00,ES,FALSE
GR,1.99084328215723,21,0.875,72,CP00,ES,FALSE
ES,11.5370588137924,20,0.8333333333333334,72,CP00,ES,FALSE
FI,6.72887237077716,4,0.16666666666666666,72,CP00,ES,FALSE
HR,4.99129286826566,8,0.3333333333333333,72,CP00,ES,FALSE
HU,6.53849885521829,5,0.20833333333333334,72,CP00,ES,FALSE
IE,1.28296809590009,23,0.9583333333333334,72,CP00,ES,FALSE
IT,6.96479968676793,3,0.125,72,CP00,ES,FALSE
LT,2.360671254201,18,0.75,72,CP00,ES,FALSE
LU,8.24161339983574,2,0.08333333333333333,72,CP00,ES,FALSE
LV,9.05990405767162,1,0.041666666666666664,72,CP00,ES,FALSE
NL,3.61244923444962,12,0.5,72,CP00,ES,FALSE
NO,4.78988416789726,9,0.375,72,CP00,ES,FALSE
PL,0.733806712140235,24,1,72,CP00,ES,FALSE
RO,6.15441202449452,7,0.2916666666666667,72,CP00,ES,FALSE
SE,4.30743224251598,10,0.4166666666666667,72,CP00,ES,FALSE
SI,2.74654013843888,17,0.7083333333333334,72,CP00,ES,FALSE
SK,3.16042180364555,16,0.6666666666666666,72,CP00,ES,FALSE
AT,5.04026354262669,11,0.4583333333333333,72,GD,ES,FALSE
BE,2.65517707608667,19,0.7916666666666666,72,GD,ES,FALSE
BG,3.67992211713206,18,0.75,72,GD,ES,FALSE
CZ,7.70618053429872,5,0.20833333333333334,72,GD,ES,FALSE
DE,2.04989626097077,22,0.9166666666666666,72,GD,ES,FALSE
DK,4.71054262071679,14,0.5833333333333334,72,GD,ES,FALSE
EE,3.94800185726899,17,0.7083333333333334,72,GD,ES,FALSE
GR,5.83095856522563,9,0.375,72,GD,ES,FALSE
ES,8.74200995467942,1,0.041666666666666664,72,GD,ES,FALSE
FI,8.1133578576077,4,0.16666666666666666,72,GD,ES,FALSE
HR,4.77588330332492,13,0.5416666666666666,72,GD,ES,FALSE
HU,10.1057055296035,23,0.9583333333333334,72,GD,ES,FALSE
IE,1.65314422908078,24,1,72,GD,ES,FALSE
IT,5.33217715368265,10,0.4166666666666667,72,GD,ES,FALSE
LT,6.40912331545962,8,0.3333333333333333,72,GD,ES,FALSE
LU,8.56881773105305,3,0.125,72,GD,ES,FALSE
LV,7.61999993344114,7,0.2916666666666667,72,GD,ES,FALSE
NL,3.96501454446828,16,0.6666666666666666,72,GD,ES,FALSE
NO,4.41292221882093,15,0.625,72,GD,ES,FALSE
PL,8.58235282744592,2,0.08333333333333333,72,GD,ES,FALSE
RO,7.68870053192414,6,0.25,72,GD,ES,FALSE
SE,4.78787898311741,12,0.5,72,GD,ES,FALSE
SI,2.37153432250393,20,0.8333333333333334,72,GD,ES,FALSE
SK,2.16866649212716,21,0.875,72,GD,ES,FALSE
AT,0.981610050341999,23,0.9583333333333334,72,SERV,ES,FALSE
BE,2.46089919728029,13,0.5416666666666666,72,SERV,ES,FALSE
BG,1.19772684836603,20,0.8333333333333334,72,SERV,ES,FALSE
CZ,4.14492795597191,5,0.20833333333333334,72,SERV,ES,FALSE
DE,6.14316777220282,1,0.041666666666666664,72,SERV,ES,FALSE
DK,2.15744259536262,15,0.625,72,SERV,ES,FALSE
EE,2.73208344902229,12,0.5,72,SERV,ES,FALSE
GR,0.876385937962406,24,1,72,SERV,ES,FALSE
ES,3.32162856608559,10,0.4166666666666667,72,SERV,ES,FALSE
FI,3.54503495872561,8,0.3333333333333333,72,SERV,ES,FALSE
HR,5.40432178755107,3,0.125,72,SERV,ES,FALSE
HU,10.250520765975,16,0.6666666666666666,72,SERV,ES,FALSE
IE,4.09867854230388,7,0.2916666666666667,72,SERV,ES,FALSE
IT,4.88370615944408,4,0.16666666666666666,72,SERV,ES,FALSE
LT,1.0932661327827,21,0.875,72,SERV,ES,FALSE
LU,6.06399898905979,2,0.08333333333333333,72,SERV,ES,FALSE
LV,3.1720773940221,11,0.4583333333333333,72,SERV,ES,FALSE
NL,2.16204177886425,14,0.5833333333333334,72,SERV,ES,FALSE
NO,4.12797088100081,6,0.25,72,SERV,ES,FALSE
PL,1.85177947422316,17,0.7083333333333334,72,SERV,ES,FALSE
RO,1.59738245419827,19,0.7916666666666666,72,SERV,ES,FALSE
SE,3.44658440035688,9,0.375,72,SERV,ES,FALSE
SI,1.66995088557909,18,0.75,72,SERV,ES,FALSE
SK,1.00121290747077,22,0.9166666666666666,72,SERV,ES,FALSE
AT,4.04170962487977,10,0.4166666666666667,72,IGD,ES,FALSE
BE,2.29655748671224,17,0.7083333333333334,72,IGD,ES,FALSE
BG,2.68048928917251,14,0.5833333333333334,72,IGD,ES,FALSE
CZ,2.74965140181418,12,0.5,72,IGD,ES,FALSE
DE,2.62273647534316,15,0.625,72,IGD,ES,FALSE
DK,6.10324842810767,6,0.25,72,IGD,ES,FALSE
EE,6.06296576398962,7,0.2916666666666667,72,IGD,ES,FALSE
GR,4.90523288593147,8,0.3333333333333333,72,IGD,ES,FALSE
ES,8.60114754088649,1,0.041666666666666664,72,IGD,ES,FALSE
FI,6.81370260203793,4,0.16666666666666666,72,IGD,ES,FALSE
HR,2.72975242834284,13,0.5416666666666666,72,IGD,ES,FALSE
HU,10.1239498437004,19,0.7916666666666666,72,IGD,ES,FALSE
IE,1.18610782731971,21,0.875,72,IGD,ES,FALSE
IT,7.39330971073004,3,0.125,72,IGD,ES,FALSE
LT,8.22120912480111,2,0.08333333333333333,72,IGD,ES,FALSE
LU,3.66275164797962,11,0.4583333333333333,72,IGD,ES,FALSE
LV,10.7279671038396,18,0.75,72,IGD,ES,FALSE
