unit,rmspe_ratio,rank,p_val,n,outcome,treated,CT
LU,11.2146211337847,21,0.875,72,CP00,ES,TRUE
LV,8.15868880342109,2,0.08333333333333333,72,CP00,ES,TRUE
NL,5.29482205005102,5,0.20833333333333334,72,CP00,ES,TRUE
NO,3.28952675670079,15,0.625,72,CP00,ES,TRUE
PL,2.52116128302344,17,0.7083333333333334,72,CP00,ES,TRUE
RO,8.67487313964712,1,0.041666666666666664,72,CP00,ES,TRUE
SE,4.86093076801465,8,0.3333333333333333,72,CP00,ES,TRUE
SI,5.01012754419982,7,0.2916666666666667,72,CP00,ES,TRUE
SK,2.62532828723247,16,0.6666666666666666,72,CP00,ES,TRUE
AT,7.02413966546303,5,0.20833333333333334,72,GD,ES,TRUE
BE,2.62710241669549,21,0.875,72,GD,ES,TRUE
BG,2.69148346238646,20,0.8333333333333334,72,GD,ES,TRUE
CZ,4.67233300112346,14,0.5833333333333334,72,GD,ES,TRUE
DE,6.68134454780393,6,0.25,72,GD,ES,TRUE
DK,6.51867059081919,7,0.2916666666666667,72,GD,ES,TRUE
EE,5.42237888516322,11,0.4583333333333333,72,GD,ES,TRUE
GR,6.03288185250585,9,0.375,72,GD,ES,TRUE
ES,9.04993048798757,4,0.16666666666666666,72,GD,ES,TRUE
FI,9.32691551560659,1,0.041666666666666664,72,GD,ES,TRUE
HR,6.15589796689754,8,0.3333333333333333,72,GD,ES,TRUE
HU,14.2329906637206,23,0.9583333333333334,72,GD,ES,TRUE
IE,1.31452746371542,24,1,72,GD,ES,TRUE
IT,5.61582844939203,10,0.4166666666666667,72,GD,ES,TRUE
LT,4.39264242565872,15,0.625,72,GD,ES,TRUE
LU,9.15807186976816,3,0.125,72,GD,ES,TRUE
LV,9.2532125652994,2,0.08333333333333333,72,GD,ES,TRUE
NL,4.9383758713634,13,0.5416666666666666,72,GD,ES,TRUE
NO,2.86623061193201,18,0.75,72,GD,ES,TRUE
PL,2.11088161378353,22,0.9166666666666666,72,GD,ES,TRUE
RO,3.61877974684778,16,0.6666666666666666,72,GD,ES,TRUE
SE,5.08992911711508,12,0.5,72,GD,ES,TRUE
SI,3.5693784164959,17,0.7083333333333334,72,GD,ES,TRUE
SK,2.83363631660613,19,0.7916666666666666,72,GD,ES,TRUE
AT,1.91299207786503,13,0.5416666666666666,72,SERV,ES,TRUE
BE,1.71964828948961,17,0.7083333333333334,72,SERV,ES,TRUE
BG,1.36475425726293,21,0.875,72,SERV,ES,TRUE
CZ,2.39585068443295,8,0.3333333333333333,72,SERV,ES,TRUE
DE,4.65952424853242,4,0.16666666666666666,72,SERV,ES,TRUE
DK,0.799905346751856,23,0.9583333333333334,72,SERV,ES,TRUE
EE,2.06074484409382,11,0.4583333333333333,72,SERV,ES,TRUE
GR,0.67131959704605,24,1,72,SERV,ES,TRUE
ES,2.10516009318598,10,0.4166666666666667,72,SERV,ES,TRUE
FI,2.31892880024712,9,0.375,72,SERV,ES,TRUE
HR,3.738054435589,7,0.2916666666666667,72,SERV,ES,TRUE
HU,5.63976152435218,2,0.08333333333333333,72,SERV,ES,TRUE
IE,1.8351156762321,14,0.5833333333333334,72,SERV,ES,TRUE
IT,1.98460210459654,12,0.5,72,SERV,ES,TRUE
LT,1.74387464426841,16,0.6666666666666666,72,SERV,ES,TRUE
LU,5.89330315938421,1,0.041666666666666664,72,SERV,ES,TRUE
LV,4.77060110892496,3,0.125,72,SERV,ES,TRUE
NL,1.461209639505,20,0.8333333333333334,72,SERV,ES,TRUE
NO,3.79245773868228,5,0.20833333333333334,72,SERV,ES,TRUE
PL,1.58783649685886,19,0.7916666666666666,72,SERV,ES,TRUE
RO,1.63750083860213,18,0.75,72,SERV,ES,TRUE
SE,3.77592759569782,6,0.25,72,SERV,ES,TRUE
SI,1.27780573714017,22,0.9166666666666666,72,SERV,ES,TRUE
SK,1.76737837971522,15,0.625,72,SERV,ES,TRUE
AT,3.0721904428971,19,0.7916666666666666,72,IGD,ES,TRUE
BE,3.16220668523078,18,0.75,72,IGD,ES,TRUE
BG,5.4435130100907,12,0.5,72,IGD,ES,TRUE
CZ,6.16640181475183,8,0.3333333333333333,72,IGD,ES,TRUE
DE,6.12682862045265,9,0.375,72,IGD,ES,TRUE
DK,7.08148683790084,6,0.25,72,IGD,ES,TRUE
EE,4.86177803726664,13,0.5416666666666666,72,IGD,ES,TRUE
GR,6.1142751177326,10,0.4166666666666667,72,IGD,ES,TRUE
ES,8.24667694936115,3,0.125,72,IGD,ES,TRUE
FI,8.17478960311749,4,0.16666666666666666,72,IGD,ES,TRUE
HR,3.78382639500023,17,0.7083333333333334,72,IGD,ES,TRUE
HU,12.8285753395385,21,0.875,72,IGD,ES,TRUE
IE,1.10378124528864,24,1,72,IGD,ES,TRUE
IT,8.13275217066909,5,0.20833333333333334,72,IGD,ES,TRUE
LT,6.27183213411111,7,0.2916666666666667,72,IGD,ES,TRUE
LU,9.91970754581267,1,0.041666666666666664,72,IGD,ES,TRUE
LV,9.90695464582679,2,0.08333333333333333,72,IGD,ES,TRUE
NL,5.71731439745776,11,0.4583333333333333,72,IGD,ES,TRUE
NO,1.57429413713498,23,0.9583333333333334,72,IGD,ES,TRUE
PL,4.37475134784978,16,0.6666666666666666,72,IGD,ES,TRUE
RO,2.14685448089324,20,0.8333333333333334,72,IGD,ES,TRUE
SE,4.80716646847567,14,0.5833333333333334,72,IGD,ES,TRUE
SI,1.70525094239414,22,0.9166666666666666,72,IGD,ES,TRUE
SK,4.54372338316671,15,0.625,72,IGD,ES,TRUE
AT,1.20872555068502,21,0.875,72,FOOD,ES,TRUE
BE,1.99251544825269,13,0.5416666666666666,72,FOOD,ES,TRUE
BG,1.13776241167192,22,0.9166666666666666,72,FOOD,ES,TRUE
CZ,0.892460258461083,24,1,72,FOOD,ES,TRUE
DE,1.4955241199099,18,0.75,72,FOOD,ES,TRUE
DK,4.2816480628393,4,0.16666666666666666,72,FOOD,ES,TRUE
EE,2.6094206355905,9,0.375,72,FOOD,ES,TRUE
GR,1.85814112672568,14,0.5833333333333334,72,FOOD,ES,TRUE
ES,1.26825367407745,20,0.8333333333333334,72,FOOD,ES,TRUE
FI,1.13674044027904,23,0.9583333333333334,72,FOOD,ES,TRUE
HR,2.66728631572375,8,0.3333333333333333,72,FOOD,ES,TRUE
HU,5.95455527482582,2,0.08333333333333333,72,FOOD,ES,TRUE
IE,1.8207129669232,15,0.625,72,FOOD,ES,TRUE
IT,2.3210716902851,10,0.4166666666666667,72,FOOD,ES,TRUE
LT,4.56509277795419,3,0.125,72,FOOD,ES,TRUE
LU,7.90671908161083,1,0.041666666666666664,72,FOOD,ES,TRUE
LV,1.7856446092128,16,0.6666666666666666,72,FOOD,ES,TRUE
NL,2.69242864672271,7,0.2916666666666667,72,FOOD,ES,TRUE
NO,1.4917770516589,19,0.7916666666666666,72,FOOD,ES,TRUE
PL,10.2967162740007,12,0.5,72,FOOD,ES,TRUE
RO,13.6077702899168,11,0.4583333333333333,72,FOOD,ES,TRUE
SE,3.10265495215934,5,0.20833333333333334,72,FOOD,ES,TRUE
SI,2.69714162154029,6,0.25,72,FOOD,ES,TRUE
SK,1.64064216686758,17,0.7083333333333334,72,FOOD,ES,TRUE
AT,14.1726865344597,21,0.875,72,NRG,ES,TRUE
BE,2.49707679922743,17,0.7083333333333334,72,NRG,ES,TRUE
BG,14.8194051806339,20,0.8333333333333334,72,NRG,ES,TRUE
CZ,7.60365527924233,5,0.20833333333333334,72,NRG,ES,TRUE
DE,5.15739405132199,11,0.4583333333333333,72,NRG,ES,TRUE
DK,8.56188463490631,3,0.125,72,NRG,ES,TRUE
EE,4.71132689241697,12,0.5,72,NRG,ES,TRUE
GR,18.5922557266516,19,0.7916666666666666,72,NRG,ES,TRUE
ES,10.9503643904168,22,0.9166666666666666,72,NRG,ES,TRUE
FI,6.67590028331981,6,0.25,72,NRG,ES,TRUE
HR,8.83479827139117,2,0.08333333333333333,72,NRG,ES,TRUE
HU,6.4641038855208,7,0.2916666666666667,72,NRG,ES,TRUE
IE,7.76724227538124,4,0.16666666666666666,72,NRG,ES,TRUE
IT,20.6657402250365,16,0.6666666666666666,72,NRG,ES,TRUE
LT,6.03474867712178,9,0.375,72,NRG,ES,TRUE
LU,9.40663581600124,1,0.041666666666666664,72,NRG,ES,TRUE
LV,10.2236743955049,23,0.9583333333333334,72,NRG,ES,TRUE
NL,5.22971072672796,10,0.4166666666666667,72,NRG,ES,TRUE
NO,1.9025596000028,24,1,72,NRG,ES,TRUE
PL,4.29092672552866,13,0.5416666666666666,72,NRG,ES,TRUE
RO,2.13629674892904,18,0.75,72,NRG,ES,TRUE
SE,6.18751202772675,8,0.3333333333333333,72,NRG,ES,TRUE
SI,3.513204977712,15,0.625,72,NRG,ES,TRUE
SK,3.64880316866537,14,0.5833333333333334,72,NRG,ES,TRUE
AT,0.763739801593555,24,1,72,IGD_NNRG,ES,TRUE
BE,0.968317417855528,20,0.8333333333333334,72,IGD_NNRG,ES,TRUE
BG,2.02341389061577,10,0.4166666666666667,72,IGD_NNRG,ES,TRUE
CZ,1.91548331257268,12,0.5,72,IGD_NNRG,ES,TRUE
DE,3.09884032303615,2,0.08333333333333333,72,IGD_NNRG,ES,TRUE
DK,0.788333700050995,23,0.9583333333333334,72,IGD_NNRG,ES,TRUE
EE,1.81848002199727,13,0.5416666666666666,72,IGD_NNRG,ES,TRUE
GR,2.05254510795368,9,0.375,72,IGD_NNRG,ES,TRUE
ES,1.7323590407729,14,0.5833333333333334,72,IGD_NNRG,ES,TRUE
FI,2.39560930764466,7,0.2916666666666667,72,IGD_NNRG,ES,TRUE
HR,2.79205249990097,3,0.125,72,IGD_NNRG,ES,TRUE
HU,11.7722693542272,11,0.4583333333333333,72,IGD_NNRG,ES,TRUE
IE,1.58234010390438,15,0.625,72,IGD_NNRG,ES,TRUE
